batch_size,epochs,learning_rate,TrainingJobName,TrainingJobStatus,FinalObjectiveValue,TrainingStartTime,TrainingEndTime,TrainingElapsedTimeSeconds
"""32""",15.0,0.0012290657957803334,pytorch-training-220120-1457-006-9f61a280,Completed,1.332356333732605,2022-01-20 17:06:38+00:00,2022-01-20 19:12:40+00:00,7562.0
"""32""",50.0,0.007948304077030333,pytorch-training-220120-1457-005-2fa0cd2a,Completed,1.3095589876174927,2022-01-20 16:31:25+00:00,2022-01-20 22:46:18+00:00,22493.0
"""64""",26.0,0.0027267294885007943,pytorch-training-220120-1457-004-445c96ca,Completed,1.3334637880325317,2022-01-20 15:00:42+00:00,2022-01-20 18:22:07+00:00,12085.0
"""64""",14.0,0.004837464564740539,pytorch-training-220120-1457-003-1885b54f,Completed,1.3709827661514282,2022-01-20 15:00:33+00:00,2022-01-20 17:02:11+00:00,7298.0
"""64""",10.0,0.007840925275527589,pytorch-training-220120-1457-002-658db242,Completed,1.403171181678772,2022-01-20 15:00:35+00:00,2022-01-20 16:27:59+00:00,5244.0
"""32""",24.0,0.0037560091551553337,pytorch-training-220120-1457-001-75ad7c29,Completed,1.3363388776779175,2022-01-20 15:00:35+00:00,2022-01-20 18:14:27+00:00,11632.0
